contract_id,category,budget_usd,compliance_history,urgency,contract_duration_days,num_line_items,lead_time_buffer_days,vendor_score,past_disputes,vendor_is_local,previous_contracts,region,delayed
CT-07670,Cloud License,48857.21,75,High,30,15,34,7.8,2,0,13,Asia,0
CT-03061,Services,12354.87,41,High,120,6,20,4.9,1,0,6,LATAM,1
CT-02151,Services,7719.48,64,Critical,180,3,16,5.6,1,1,4,LATAM,0
CT-03053,Services,54195.38,40,High,270,2,53,5.9,1,0,7,North America,0
CT-06454,Software,72390.69,85,High,45,12,15,8.5,1,0,9,Europe,0
CT-00029,Software,78934.02,49,Critical,45,14,51,4.4,0,0,6,North America,0
CT-01747,Networking,18504.06,59,Low,30,8,59,5.8,0,0,14,North America,0
CT-07024,Software,296836.18,59,Medium,180,3,52,6.7,1,0,14,Europe,0
CT-01063,Software,208898.75,22,Medium,365,1,16,7.3,1,1,5,Europe,1
CT-00981,Cloud License,11808.66,35,High,90,13,57,8.4,0,0,7,Europe,0
CT-07750,Software,48776.44,66,Low,120,3,13,8.0,0,0,20,Europe,0
CT-04082,Software,18145.46,83,High,60,14,21,5.0,1,0,9,North America,0
CT-01810,Hardware,8664.82,35,High,120,3,34,3.3,0,0,7,North America,1
CT-06304,Networking,50557.92,40,Low,270,1,52,3.8,2,1,5,Europe,0
CT-07353,Services,21819.67,59,Medium,180,12,41,7.7,0,0,19,Asia,1
CT-01001,Hardware,40258.66,85,Medium,90,2,24,10.0,0,1,18,LATAM,0
CT-04860,Cloud License,118237.26,25,High,180,12,40,6.0,1,0,4,Asia,1
CT-01248,Services,24367.78,65,Medium,180,10,32,6.3,0,0,5,Asia,1
CT-06326,Services,264698.31,62,Critical,45,2,6,9.2,0,1,17,North America,1
CT-05470,Software,166401.81,87,High,60,10,50,7.9,0,0,7,LATAM,0
CT-05669,Hardware,126462.74,72,High,60,3,45,5.8,0,0,11,Asia,1
CT-03460,Services,57413.51,68,Critical,60,2,16,7.1,0,0,9,North America,0
CT-01566,Services,20279.49,65,Low,60,1,9,8.3,2,0,16,Europe,1
CT-02448,Cloud License,109312.41,52,Critical,45,15,15,7.2,0,0,19,Asia,0
CT-02630,Hardware,24134.11,42,Critical,365,14,46,4.7,1,1,11,Europe,1
CT-06546,Services,76794.76,65,Low,45,15,40,6.6,1,0,13,North America,0
CT-04343,Software,51926.23,71,Critical,45,4,34,5.9,0,0,1,Asia,1
CT-00802,Hardware,15512.45,76,Medium,365,8,9,3.4,0,1,6,Europe,1
CT-00642,Cloud License,34813.25,59,Low,60,10,27,6.8,0,1,0,LATAM,0
CT-06822,Networking,10277.26,44,Medium,90,10,19,7.6,1,0,1,LATAM,1
CT-03466,Cloud License,4351.93,90,Medium,45,7,3,10.0,0,1,3,Asia,0
CT-05380,Networking,25930.36,52,Low,60,14,27,3.9,1,1,8,North America,1
